,VendorID,VendorName,Address,City,State,ZipCode,Country
0,1,"Rodriguez, Figueroa and Sanchez",181 Johnson Course,East William,AK,74064,US
1,2,Baldwin Ltd,79402 Peterson Drives Apt. 511,Davisstad,PA,35172,US
2,3,Blair PLC,1849 Ray Squares,North Donnaport,CO,31013,US
3,4,James Group,55341 Amanda Gardens Apt. 764,Lake Mark,WI,07832,US
4,5,Underwood LLC,1395 Diana Locks Suite 242,Lake Anna,KS,98413,US
5,6,"Patterson, Silva and Cox",710 Eric Estate,Carlsonfurt,MS,78605,US
6,7,Rice-Maddox,184 Rodriguez Mews,South Aaron,VA,94830,US
7,8,Stanton-Gill,489 Eric Track,New Stephanie,NC,00575,US
8,9,"Nguyen, Smith and Hickman",03911 Cabrera Trace Apt. 278,West Allison,PA,55962,US
9,10,Hickman Ltd,465 Lam Mission,East Jeffreymouth,AK,77611,US
10,11,"Hall, Robinson and Jones",10518 Joshua Oval,New David,FM,75348,US
11,12,"Kennedy, Mueller and Aguirre",16566 Shields Center,North Richardmouth,AS,14823,US
12,13,Lee PLC,62473 Scott Wall Apt. 080,Port Melindaburgh,MT,64154,US
13,14,Lewis-Morales,60647 Henderson Street,Mooreport,IL,08166,US
14,15,"Fitzgerald, Brown and Edwards",788 Brian Pass,Port Jacobland,TX,31329,US
15,16,Wilson-Zamora,909 Robert Prairie,Sarahborough,TN,94373,US
16,17,Allen-Foster,5107 Charles Forest Suite 251,West Justin,NV,71701,US
17,18,"Turner, Riggs and Roman",841 Joseph Coves,West Juan,IL,94559,US
18,19,Harris-Walters,740 Cynthia Village Suite 005,Lake Tina,GA,97655,US
19,20,Arnold-Patterson,12805 Russell Canyon,Michaelton,MH,47399,US
20,21,Fleming Ltd,8692 Michelle Union,South Angel,WA,44041,US
21,22,Pham-Shields,2160 Walker Viaduct,Baileybury,IN,03602,US
22,23,"Lee, Murphy and Lin",8685 Darrell Green Apt. 940,New Ryanmouth,NE,79958,US
23,24,"Wilson, Lam and Lee",608 Michael Cliff,Cindyville,VA,39864,US
24,25,"Parker, Ortiz and Powell",236 Byrd Extensions Suite 680,Justinchester,WY,76520,US
25,26,"Pena, Marshall and Ramos",721 Robertson Roads,Clarencebury,TX,41188,US
26,27,Drake and Sons,37917 Mercado Ports,Lake Heather,NM,52884,US
27,28,Hernandez Ltd,63287 Angela Vista,South Dennismouth,TN,70117,US
28,29,"Larson, Dodson and Vance",727 Green Gateway Suite 873,Scottport,IA,36115,US
29,30,Flores-Fernandez,36231 Russell Plains,Perryborough,MP,55570,US
30,31,Stein-Silva,670 Evans Loaf,Medinaside,AS,79570,US
31,32,Freeman LLC,0656 Mary Crossroad Apt. 699,North Dawnberg,VI,61016,US
32,33,Williams Group,75564 King Common Suite 080,Jeffreyland,WI,85927,US
33,34,Webster and Sons,92327 Anne Forge,Lyonsstad,GA,79916,US
34,35,"Stuart, Higgins and Strickland",1904 Sanders Stravenue,North Brittany,MP,82714,US
35,36,Garcia LLC,058 Stanley Cliff,Alexanderchester,GU,64752,US
36,37,Hamilton LLC,262 Gilbert Plain Suite 769,Marcusbury,MP,11860,US
37,38,Keith-Sanchez,965 Troy Islands Apt. 735,Matthewview,OH,01831,US
38,39,"Vaughan, Miller and Cortez",377 Mcguire Course Suite 363,Elizabethstad,NJ,73045,US
39,40,"Cooper, Barajas and Pierce",744 Hall Stravenue Apt. 518,East Javier,NJ,36742,US
40,41,"Lawrence, Wolf and Carlson",43524 Jean Crossroad,Brandonton,OH,38791,US
41,42,"Raymond, Little and Mullins",94777 Lopez Center,Shelleyfort,DE,09065,US
42,43,Vasquez-Ray,29413 Angela Mall,Port Alexandra,NV,58529,US
43,44,Dalton-Branch,909 Stacey Fords Apt. 412,East Andrea,GA,00851,US
44,45,Hayes-Wheeler,34471 Sandra Turnpike Apt. 618,Lake Edward,KY,19144,US
45,46,Brown LLC,1746 Mason Park Suite 190,Navarroview,AK,12471,US
46,47,Hayden PLC,490 Thomas Run,Moonburgh,OR,57633,US
47,48,"Olsen, Costa and Harrison",5125 Steele Heights Suite 807,West Johnnyville,WI,53477,US
48,49,"Bryan, Smith and Booth",0385 Garrett Trace Apt. 348,West Samuel,UT,64033,US
49,50,Johnson Ltd,248 Andrea Course,Port Robin,NH,15897,US
