,ShiftID,EmployeeID,StartTime,EndTime,Date
0,1,469,18:35:17,23:59:59,2024-03-28
1,2,288,08:35:35,09:35:35,2023-11-15
2,3,496,00:18:03,07:18:03,2024-05-02
3,4,286,18:27:27,23:59:59,2024-06-28
4,5,199,05:28:27,08:28:27,2024-01-08
5,6,131,23:56:50,23:59:59,2023-10-26
6,7,170,07:12:14,11:12:14,2023-08-16
7,8,473,10:35:48,12:35:48,2024-03-31
8,9,434,08:56:29,16:56:29,2023-10-26
9,10,48,14:25:15,20:25:15,2024-05-29
10,11,27,13:49:06,17:49:06,2024-05-27
11,12,194,15:13:43,20:13:43,2023-12-09
12,13,448,12:04:53,13:04:53,2024-07-22
13,14,97,18:09:44,20:09:44,2023-09-09
14,15,246,17:55:07,21:55:07,2024-06-12
15,16,446,14:29:38,18:29:38,2024-05-28
16,17,156,06:21:17,12:21:17,2024-02-19
17,18,109,00:22:31,01:22:31,2023-12-23
18,19,493,18:27:15,22:27:15,2024-06-05
19,20,383,18:54:43,20:54:43,2024-06-17
20,21,469,20:21:27,23:59:59,2024-04-20
21,22,357,02:10:46,06:10:46,2023-10-29
22,23,204,09:49:15,13:49:15,2023-09-05
23,24,283,11:03:55,15:03:55,2023-09-12
24,25,398,15:06:38,21:06:38,2024-03-26
25,26,195,01:45:26,06:45:26,2023-12-20
26,27,274,03:23:36,11:23:36,2023-11-12
27,28,158,12:50:05,18:50:05,2024-03-31
28,29,185,12:56:08,17:56:08,2023-10-08
29,30,239,06:03:43,14:03:43,2023-10-05
30,31,412,03:09:52,05:09:52,2024-08-03
31,32,390,20:26:46,23:59:59,2024-02-26
32,33,469,07:14:02,13:14:02,2024-06-10
33,34,190,03:44:32,07:44:32,2023-10-29
34,35,212,09:30:07,15:30:07,2023-11-30
35,36,289,21:12:26,22:12:26,2023-10-23
36,37,380,10:22:46,14:22:46,2024-06-22
37,38,9,20:24:01,23:24:01,2024-04-02
38,39,284,14:35:00,19:35:00,2024-07-06
39,40,152,08:16:18,15:16:18,2023-11-11
40,41,101,16:45:51,19:45:51,2024-02-28
41,42,118,17:51:19,23:51:19,2024-03-07
42,43,292,18:46:50,23:59:59,2023-12-31
43,44,256,04:15:50,08:15:50,2024-08-06
44,45,132,14:43:39,20:43:39,2023-09-09
45,46,495,18:44:01,23:59:59,2023-09-16
46,47,236,21:12:01,23:59:59,2024-05-22
47,48,376,09:42:58,12:42:58,2023-08-30
48,49,87,19:27:02,23:59:59,2024-08-05
49,50,369,00:20:09,03:20:09,2024-07-27
50,51,95,22:09:53,23:59:59,2023-08-11
51,52,269,11:27:49,12:27:49,2024-04-12
52,53,430,07:36:47,08:36:47,2023-11-12
53,54,484,06:18:40,08:18:40,2023-09-16
54,55,392,09:06:47,10:06:47,2024-01-20
55,56,212,14:38:30,15:38:30,2024-06-22
56,57,432,17:56:19,20:56:19,2024-02-06
57,58,35,05:31:46,09:31:46,2024-07-06
58,59,5,04:29:21,07:29:21,2023-11-24
59,60,259,23:34:03,23:59:59,2024-03-16
60,61,192,12:18:35,20:18:35,2024-05-12
61,62,317,12:36:52,13:36:52,2024-05-17
62,63,338,10:48:06,18:48:06,2023-08-07
63,64,9,10:58:20,18:58:20,2023-08-14
64,65,273,09:46:47,10:46:47,2024-06-23
65,66,7,04:00:20,11:00:20,2023-11-27
66,67,272,10:41:37,11:41:37,2024-06-23
67,68,275,19:36:03,23:59:59,2023-09-07
68,69,9,05:36:04,10:36:04,2023-09-01
69,70,413,10:25:03,17:25:03,2024-05-13
70,71,55,09:41:22,12:41:22,2024-01-27
71,72,269,09:49:45,11:49:45,2023-11-12
72,73,124,18:21:14,21:21:14,2024-01-08
73,74,318,13:52:26,17:52:26,2024-02-20
74,75,418,08:54:38,13:54:38,2023-10-19
75,76,137,03:05:31,09:05:31,2024-08-05
76,77,41,16:55:09,23:55:09,2024-01-14
77,78,492,00:06:20,06:06:20,2023-09-20
78,79,236,06:55:15,13:55:15,2023-12-08
79,80,357,15:55:16,19:55:16,2023-10-30
80,81,154,16:59:52,20:59:52,2023-09-01
81,82,335,05:58:31,07:58:31,2023-10-29
82,83,48,01:34:35,02:34:35,2024-06-16
83,84,195,00:33:17,07:33:17,2023-11-02
84,85,283,14:46:57,21:46:57,2023-10-24
85,86,29,23:17:19,23:59:59,2024-07-14
86,87,360,04:41:05,05:41:05,2024-01-26
87,88,43,05:32:26,08:32:26,2024-05-28
88,89,433,04:41:34,12:41:34,2023-09-11
89,90,331,14:14:13,21:14:13,2024-01-09
90,91,290,12:08:23,18:08:23,2024-04-29
91,92,459,16:31:39,18:31:39,2024-08-01
92,93,118,12:12:24,13:12:24,2024-01-01
93,94,462,19:18:13,23:18:13,2024-06-17
94,95,139,10:21:01,18:21:01,2023-10-15
95,96,474,20:36:55,21:36:55,2024-01-08
96,97,351,03:11:15,05:11:15,2023-11-06
97,98,461,08:51:43,13:51:43,2024-01-16
98,99,92,20:27:57,21:27:57,2024-02-24
99,100,9,09:32:11,15:32:11,2024-08-06
100,101,301,23:33:52,23:59:59,2024-07-26
101,102,386,15:25:43,18:25:43,2024-06-12
102,103,476,15:13:28,22:13:28,2024-01-31
103,104,154,07:56:08,09:56:08,2023-12-31
104,105,289,10:10:40,13:10:40,2023-12-23
105,106,291,06:00:31,10:00:31,2023-11-12
106,107,347,18:50:16,23:59:59,2024-01-20
107,108,197,02:50:33,08:50:33,2024-07-22
108,109,405,18:51:42,21:51:42,2024-02-26
109,110,257,01:35:40,03:35:40,2023-10-02
110,111,28,05:53:41,11:53:41,2024-07-26
111,112,224,10:17:08,12:17:08,2024-02-21
112,113,430,21:41:32,23:59:59,2023-08-27
113,114,175,06:46:07,08:46:07,2024-02-07
114,115,497,05:42:57,12:42:57,2023-10-03
115,116,16,19:06:04,23:59:59,2023-09-05
116,117,402,08:37:41,13:37:41,2024-03-11
117,118,252,19:50:46,23:59:59,2023-11-01
118,119,183,03:00:17,07:00:17,2024-06-27
119,120,222,22:54:24,23:59:59,2024-03-11
120,121,349,19:50:39,22:50:39,2024-01-07
121,122,44,06:53:18,13:53:18,2024-02-14
122,123,409,14:01:05,19:01:05,2023-10-20
123,124,366,22:04:54,23:59:59,2023-11-02
124,125,43,15:53:22,17:53:22,2024-04-08
125,126,79,23:35:49,23:59:59,2023-11-30
126,127,365,07:31:40,14:31:40,2023-09-02
127,128,379,13:18:55,16:18:55,2024-08-06
128,129,163,19:24:37,23:59:59,2023-09-02
129,130,55,10:23:10,16:23:10,2023-11-12
130,131,3,18:14:04,20:14:04,2024-06-24
131,132,228,20:24:50,23:59:59,2023-12-20
132,133,390,06:36:26,12:36:26,2024-06-07
133,134,53,19:08:36,23:59:59,2024-03-17
134,135,45,00:16:37,03:16:37,2024-04-02
135,136,221,07:56:49,10:56:49,2024-06-01
136,137,286,12:26:51,20:26:51,2024-04-05
137,138,53,22:11:45,23:59:59,2023-09-25
138,139,46,14:35:04,15:35:04,2023-09-15
139,140,284,18:12:53,23:59:59,2023-11-14
140,141,306,05:15:42,07:15:42,2024-04-25
141,142,443,11:20:52,17:20:52,2024-03-26
142,143,7,14:00:01,21:00:01,2024-02-01
143,144,212,15:40:23,20:40:23,2024-06-11
144,145,399,16:01:53,23:01:53,2024-01-09
145,146,372,23:15:01,23:59:59,2023-08-08
146,147,293,00:24:19,04:24:19,2024-03-27
147,148,351,19:58:20,22:58:20,2024-05-04
148,149,87,20:05:19,23:59:59,2024-01-10
149,150,138,06:17:01,09:17:01,2023-09-03
150,151,138,09:07:40,14:07:40,2024-07-02
151,152,75,15:20:41,23:20:41,2024-06-07
152,153,86,13:40:17,15:40:17,2023-09-30
153,154,142,20:23:03,23:59:59,2023-11-27
154,155,154,11:25:29,18:25:29,2024-05-24
155,156,401,10:20:01,18:20:01,2024-07-01
156,157,185,22:50:20,23:59:59,2023-11-06
157,158,484,18:27:00,23:27:00,2024-05-18
158,159,370,11:32:14,15:32:14,2024-01-02
159,160,305,01:26:32,09:26:32,2023-10-02
160,161,235,21:24:43,23:59:59,2024-06-18
161,162,70,13:19:47,15:19:47,2024-05-29
162,163,4,20:44:15,23:59:59,2023-08-16
163,164,171,16:53:16,23:53:16,2023-12-06
164,165,412,12:16:20,19:16:20,2024-05-26
165,166,226,17:54:53,23:54:53,2024-05-29
166,167,221,16:28:18,22:28:18,2024-05-21
167,168,154,09:51:43,12:51:43,2024-06-21
168,169,309,16:44:27,22:44:27,2023-10-27
169,170,246,05:43:40,09:43:40,2024-01-22
170,171,91,19:12:41,23:59:59,2024-05-24
171,172,496,11:19:13,18:19:13,2023-08-15
172,173,150,06:33:05,12:33:05,2023-12-05
173,174,496,10:08:27,18:08:27,2024-07-25
174,175,167,13:07:07,17:07:07,2024-03-28
175,176,144,10:17:59,17:17:59,2024-07-31
176,177,187,04:35:42,11:35:42,2024-07-15
177,178,478,01:42:14,03:42:14,2024-07-27
